,pos_x,pos_y,r,t
4353,45.0,15.0,1,8706
4354,45.0,15.0,1,8708
4355,45.0,15.0,1,8710
4356,45.0,15.0,1,8712
4357,45.0,15.0,1,8714
4358,45.0,15.0,1,8716
4359,45.0,15.0,1,8718
4360,45.0,15.0,1,8720
4361,45.0,15.0,1,8722
4362,45.0,15.0,1,8724
4363,45.0,15.0,1,8726
4364,45.0,15.0,1,8728
4365,45.0,15.0,1,8730
4366,45.0,15.0,1,8732
4367,45.0,15.0,1,8734
4368,45.0,15.0,1,8736
4369,45.0,15.0,1,8738
4370,45.0,15.0,1,8740
4371,45.0,15.0,1,8742
4372,45.0,15.0,1,8744
4373,45.0,15.0,1,8746
4374,45.0,15.0,1,8748
4375,45.0,15.0,1,8750
4376,45.0,15.0,1,8752
4377,45.0,15.0,1,8754
4378,45.0,15.0,1,8756
4379,45.0,15.0,1,8758
4380,45.0,15.0,1,8760
4381,45.0,15.0,1,8762
4382,45.0,15.0,1,8764
4383,45.0,15.0,1,8766
4384,45.0,15.0,1,8768
4385,45.0,15.0,1,8770
4386,45.0,15.0,1,8772
4387,45.0,15.0,1,8774
4388,45.0,15.0,1,8776
4389,45.0,15.0,1,8778
4390,45.0,15.0,1,8780
4391,45.0,15.0,1,8782
4392,45.0,15.0,1,8784
4393,45.0,15.0,1,8786
4394,45.0,15.0,1,8788
4395,45.0,15.0,1,8790
4396,45.0,15.0,1,8792
4397,45.0,15.0,1,8794
4398,45.0,15.0,1,8796
4399,45.0,15.0,1,8798
4400,45.0,15.0,1,8800
4401,45.0,15.0,1,8802
4402,45.0,15.0,1,8804
4403,45.0,15.0,1,8806
4404,45.0,15.0,1,8808
4405,45.0,15.0,1,8810
4406,45.0,15.0,1,8812
4407,45.0,15.0,1,8814
4408,45.0,15.0,1,8816
4409,45.0,15.0,1,8818
4410,45.0,15.0,1,8820
4411,45.0,15.0,1,8822
4412,45.0,15.0,1,8824
4413,45.0,15.0,1,8826
4414,45.0,15.0,1,8828
4415,45.0,15.0,1,8830
4416,45.0,15.0,1,8832
4417,45.0,15.0,1,8834
4418,45.0,15.0,1,8836
4419,45.0,15.0,1,8838
4420,45.0,15.0,1,8840
4421,45.0,15.0,1,8842
4422,45.0,15.0,1,8844
4423,45.0,15.0,1,8846
4424,45.0,15.0,1,8848
4425,45.0,15.0,1,8850
4426,45.0,15.0,1,8852
4427,45.0,15.0,1,8854
4428,45.0,15.0,1,8856
4429,45.0,15.0,1,8858
4430,45.0,15.0,1,8860
4431,45.0,15.0,1,8862
4432,45.0,15.0,1,8864
4433,45.0,15.0,1,8866
4434,45.0,15.0,1,8868
4435,45.0,15.0,1,8870
4436,45.0,15.0,1,8872
4437,45.0,15.0,1,8874
4438,45.0,15.0,1,8876
4439,45.0,15.0,1,8878
4440,45.0,15.0,1,8880
4441,45.0,15.0,1,8882
4442,45.0,15.0,1,8884
4443,45.0,15.0,1,8886
4444,45.0,15.0,1,8888
4445,45.0,15.0,1,8890
4446,45.0,15.0,1,8892
4447,45.0,15.0,1,8894
4448,45.0,15.0,1,8896
4449,45.0,15.0,1,8898
4450,45.0,15.0,1,8900
4451,45.0,15.0,1,8902
4452,45.0,15.0,1,8904
4453,45.0,15.0,1,8906
4454,45.0,15.0,1,8908
4455,45.0,15.0,1,8910
